"Treatment","Tree","Bloc","Traitement","PlantingYear","Plot","Pruned","ApogeeBino","Apogee","Date","Cultivar","Row","Shoot","Score","exsudat","Length","croissance","Observation","Year","Subject","Time","ScoreFactor","Growing","Alive","Growth","Exsudat","Exsudate"
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,1,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,2,2,"Oui",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,3,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,4,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,5,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,6,1,"non",0,"non",NA,"2018",1,-2016,"1","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,7,2,"Oui",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,8,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,9,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,10,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,11,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,12,2,"Oui",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,13,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,14,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,15,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,16,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,17,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,18,3,"Oui",3,"oui",NA,"2018",1,-2016,"3","Yes",1,1,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,19,3,"Oui",3,"oui",NA,"2018",1,-2016,"3","Yes",1,1,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,20,2,"non",0,"oui",NA,"2018",1,-2016,"2","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,21,3,"Oui",4,"oui",NA,"2018",1,-2016,"3","Yes",1,1,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,22,3,"non",2,"oui",NA,"2018",1,-2016,"3","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,23,2,"non",0,"non",NA,"2018",1,-2016,"2","No",1,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2018-06-22,"Cortland",2,24,1,"non",0,"oui",NA,"2018",1,-2016,"1","Yes",1,1,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,1,3,"Oui",3,"Non",2019-07-05,"2019",1,-2015,"3","No",1,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,2,4,"Oui",10,"Oui",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,3,4,"Non",6,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Non",0
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,4,3,"Oui",4,"Oui",2019-07-05,"2019",1,-2015,"3","Yes",1,1,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,5,4,"Oui",10,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Oui",1
"A",3,"I","témoin avec taille","2017","A.I","Yes","No","None",2019-07-05,"cortland",2,6,4,"Non",4,"MORT",2019-07-05,"2019",1,-2015,"4","Dead",0,0,"Non",0
