date,rad,tmin,tmax,rh,soilm,wdir,ws_avg,pp
01/01/2002,29.29,20.37,37.56,48.75,0.39,74.06,1.93,0
01/02/2002,28.86,20.48,39.35,37.88,0.36,88.62,3.02,0
01/03/2002,30.09,20.04,36.33,40.5,0.34,86.88,4.41,0
01/04/2002,28.28,19.67,36.44,42.62,0.32,87.88,3.6,0
01/05/2002,26.13,19.23,35.64,40.38,0.3,77.38,2.95,0
01/06/2002,24.18,20.24,36.26,40.88,0.34,71.38,2.12,0
01/07/2002,23.77,20.79,37.62,39.31,0.38,51.44,2.34,3.187246323
01/08/2002,22.02,22.12,37.32,41.06,0.35,65.06,3.17,6.374492645
01/09/2002,20.36,21.09,37.17,46.5,0.38,63.44,3.57,3.187246323
01/10/2002,26.05,20.65,35.23,55.06,0.41,58.69,2.29,3.187246323
01/11/2002,23.26,22.59,32.45,61,0.48,184.56,1.88,4.799171925
01/12/2002,16.18,21.78,30.28,66.88,0.51,199.69,1.02,14.3975153
01/13/2002,20.51,20.42,33.46,62.12,0.46,133,2.12,4.799171925
01/14/2002,15.32,19.93,33.29,63.75,0.48,58.44,1.39,9.598343849
01/15/2002,26.42,20.52,33.48,58.31,0.48,60.81,1.2,0
01/16/2002,28.26,20.47,35.66,52.75,0.46,71.38,2.2,0
01/17/2002,29.72,20.3,36.05,51.75,0.46,63.25,2.14,0
01/18/2002,26.6,21.38,35.62,52.44,0.49,144.81,1.51,0
01/19/2002,21.81,21.55,33,63.81,0.51,111.62,1.71,6.362531185
01/20/2002,23.04,19.91,35.14,56.12,0.48,73.31,2.61,0
01/21/2002,24.96,20.47,34.98,50.38,0.43,89.31,1.8,0
01/22/2002,20.73,20.75,32.39,63.69,0.45,173.25,1.63,6.420575619
01/23/2002,21.34,19.82,36.18,55.19,0.44,166.12,1.69,0
01/24/2002,25.59,21.21,36.48,48.06,0.39,177.38,1.85,3.210287809
01/25/2002,26.35,21.9,37.36,44,0.36,137.12,2.48,0
01/26/2002,23.77,21.87,34.78,48.81,0.37,58.69,2.43,0
01/27/2002,21.89,20.87,35.02,51.12,0.39,52.94,2.77,0
01/28/2002,25.5,20.96,35.03,51.25,0.43,38.25,2.34,0
01/29/2002,27.1,20.55,35.81,53.75,0.45,47.75,2.06,0
01/30/2002,21.16,22.15,34.11,53.5,0.41,108.44,1.06,9.835450172
01/31/2002,21.1,22.17,33.12,55.81,0.4,225.69,1.2,6.556966782
02/01/2002,24.25,21.85,32.3,58,0.39,172.62,1.19,12.6210146
02/02/2002,24.86,20.49,35.15,53.19,0.38,75.19,1.84,0
02/03/2002,22.62,21.16,36.62,48.81,0.35,87,2.35,6.310507298
02/04/2002,25.1,21.9,36.5,48.94,0.34,64.62,2.34,0
02/05/2002,25.84,20.15,37.42,47,0.35,95.25,2.42,0
02/06/2002,25.08,21.37,37.78,44,0.36,114.75,2.13,0
02/07/2002,25.01,22.08,36.9,46.12,0.37,146.12,1.96,0
02/08/2002,17.69,22.58,35.66,49.19,0.4,62,2.53,17.94058037
02/09/2002,15.98,21.44,35.42,49.12,0.38,69.56,2.71,0
02/10/2002,25.16,21.64,35.8,48.44,0.34,67.69,1.57,0
02/11/2002,24.37,22.4,37.01,46.88,0.34,195.56,1.63,0
