day;month;year;hour;temp
1;10;2017;0.00;21.17999999
1;10;2017;1.00;21.07333361
1;10;2017;2.00;21.08000031
1;10;2017;3.00;21.13999996
1;10;2017;4.00;20.71666667
1;10;2017;5.00;20.25000025
1;10;2017;6.00;20.56333357
1;10;2017;7.00;20.59666678
1;10;2017;8.00;21.31666654
1;10;2017;9.00;23.16666673
1;10;2017;10.00;25.58666662
1;10;2017;11.00;27.86666673
1;10;2017;12.00;29.83999983
1;10;2017;13.00;31.89666659
1;10;2017;14.00;33.40666656
1;10;2017;15.00;34.29333293
1;10;2017;16.00;33.74000003
1;10;2017;17.00;30.68666655
1;10;2017;18.00;28.38999996
1;10;2017;19.00;27.32000001
1;10;2017;20.00;25.97666658
1;10;2017;21.00;25.28333321
1;10;2017;22.00;23.93333333
1;10;2017;23.00;23.17999999
2;10;2017;0.00;22.22333342
2;10;2017;1.00;21.44666678
2;10;2017;2.00;21.19333337
2;10;2017;3.00;20.34333356
2;10;2017;4.00;20.08000024
2;10;2017;5.00;19.85999991
2;10;2017;6.00;20.44999987
2;10;2017;7.00;24.91333332
2;10;2017;8.00;27.45
2;10;2017;9.00;29.74333324
2;10;2017;10.00;32.2733333
2;10;2017;11.00;35.99666659
2;10;2017;12.00;37.02999967
2;10;2017;13.00;37.1899999
2;10;2017;14.00;37.7
2;10;2017;15.00;37.77666639
2;10;2017;16.00;36.67666601
2;10;2017;17.00;33.29999975
2;10;2017;18.00;31.31666648
2;10;2017;19.00;29.7733333
2;10;2017;20.00;29.91333319
2;10;2017;21.00;29.33333333
2;10;2017;22.00;27.40999997
2;10;2017;23.00;25.8600001
3;10;2017;0.00;24.74666665
3;10;2017;1.00;24.30999991
3;10;2017;2.00;24.37999986
3;10;2017;3.00;24.16999976
3;10;2017;4.00;23.32000033
3;10;2017;5.00;23.30000019
3;10;2017;6.00;23.50666682
3;10;2017;7.00;26.10333322
3;10;2017;8.00;29.07333342
3;10;2017;9.00;29.4966664
3;10;2017;10.00;31.25999972
3;10;2017;11.00;32.3299998
3;10;2017;12.00;33.73000005
3;10;2017;13.00;35.14333305
3;10;2017;14.00;35.12333285
3;10;2017;15.00;31.60333322
3;10;2017;16.00;26.3166666
3;10;2017;17.00;25.9266669
3;10;2017;18.00;24.87333342
3;10;2017;19.00;24.05666656
3;10;2017;20.00;23.34333337
3;10;2017;21.00;23.30999978
3;10;2017;22.00;23.4733331
3;10;2017;23.00;23.5399999
4;10;2017;0.00;23.29666678
4;10;2017;1.00;22.68333321
4;10;2017;2.00;22.07333361
4;10;2017;3.00;21.29333331
4;10;2017;4.00;20.90999966
4;10;2017;5.00;20.73666662
4;10;2017;6.00;19.94999981
4;10;2017;7.00;20.15333385
4;10;2017;8.00;20.31999963
4;10;2017;9.00;20.18666681
4;10;2017;10.00;20.7399999
4;10;2017;11.00;20.83666662
4;10;2017;12.00;21.63000005
4;10;2017;13.00;21.94333312
4;10;2017;14.00;22.07333361
4;10;2017;15.00;21.55666682
4;10;2017;16.00;20.91666635
4;10;2017;17.00;20.74666672
4;10;2017;18.00;20.49333331
4;10;2017;19.00;20.22999999
4;10;2017;20.00;20.17666709
4;10;2017;21.00;20.03666681
4;10;2017;22.00;20.00666669
4;10;2017;23.00;20.09000034
5;10;2017;0.00;20.02000008
5;10;2017;1.00;19.71333319
5;10;2017;2.00;19.62000033
5;10;2017;3.00;19.8100001
5;10;2017;4.00;19.62000001
5;10;2017;5.00;19.49666665
5;10;2017;6.00;19.99666678
