var,trt,dias,pl,total,diseased,dsi,inc,tree_id,inc_pois
A,0,0,1,12,0,0,0,A.0.0.1,0
A,0,0,2,28,0,0,0,A.0.0.2,0
A,0,0,3,26,1,0.00113636363636364,0.0384615384615385,A.0.0.3,4
A,0,1,1,20,0,0,0,A.0.1.1,0
A,0,1,2,36,1,0.000735294117647059,0.0277777777777778,A.0.1.2,3
A,0,1,3,28,0,0,0,A.0.1.3,0
A,0,3,1,22,7,0.02125,0.318181818181818,A.0.3.1,32
A,0,3,2,25,0,0,0,A.0.3.2,0
A,0,3,3,22,0,0,0,A.0.3.3,0
A,0,7,1,24,9,0.0633333333333333,0.375,A.0.7.1,38
A,0,7,2,27,0,0,0,A.0.7.2,0
A,0,7,3,0,0,,,A.0.7.3,
A,1,0,1,10,0,0,0,A.1.0.1,0
A,1,0,2,14,1,0.00178571428571429,0.0714285714285714,A.1.0.2,7
A,1,0,3,11,1,0.00178571428571429,0.0909090909090909,A.1.0.3,9
A,1,1,1,17,0,0,0,A.1.1.1,0
A,1,1,2,17,0,0,0,A.1.1.2,0
A,1,1,3,17,0,0,0,A.1.1.3,0
A,1,3,1,19,0,0,0,A.1.3.1,0
A,1,3,2,17,0,0,0,A.1.3.2,0
A,1,3,3,17,0,0,0,A.1.3.3,0
A,1,7,1,38,0,0,0,A.1.7.1,0
A,1,7,2,20,0,0,0,A.1.7.2,0
A,1,7,3,31,0,0,0,A.1.7.3,0
A,2,0,1,19,8,0.0104166666666667,0.421052631578947,A.2.0.1,42
A,2,0,2,19,2,0.0109375,0.105263157894737,A.2.0.2,11
A,2,0,3,22,0,0,0,A.2.0.3,0
A,2,1,1,16,0,0,0,A.2.1.1,0
A,2,1,2,15,0,0,0,A.2.1.2,0
A,2,1,3,13,0,0,0,A.2.1.3,0
A,2,3,1,18,0,0,0,A.2.3.1,0
A,2,3,2,19,0,0,0,A.2.3.2,0
A,2,3,3,33,0,0,0,A.2.3.3,0
A,2,7,1,23,0,0,0,A.2.7.1,0
A,2,7,2,17,7,0.0319444444444444,0.411764705882353,A.2.7.2,41
A,2,7,3,16,0,0,0,A.2.7.3,0
A,3,0,1,15,3,0.0232142857142857,0.2,A.3.0.1,20
A,3,0,2,14,0,0,0,A.3.0.2,0
A,3,0,3,17,1,0.00178571428571429,0.0588235294117647,A.3.0.3,6
A,3,1,1,17,0,0,0,A.3.1.1,0
A,3,1,2,18,0,0,0,A.3.1.2,0
A,3,1,3,19,0,0,0,A.3.1.3,0
A,3,3,1,16,0,0,0,A.3.3.1,0
A,3,3,2,9,0,,0,A.3.3.2,0
A,3,3,3,21,0,0,0,A.3.3.3,0
A,3,7,1,28,0,0,0,A.3.7.1,0
A,3,7,2,18,1,0.00125,0.0555555555555556,A.3.7.2,6
A,3,7,3,24,2,0.00192307692307692,0.0833333333333333,A.3.7.3,8
A,4,0,1,12,1,0.0015625,0.0833333333333333,A.4.0.1,8
A,4,0,2,21,0,0,0,A.4.0.2,0
A,4,0,3,27,0,0,0,A.4.0.3,0
A,4,1,1,19,0,0,0,A.4.1.1,0
A,4,1,2,23,1,0.003125,0.0434782608695652,A.4.1.2,4
A,4,1,3,6,0,,0,A.4.1.3,0
A,4,3,1,15,4,0.025,0.266666666666667,A.4.3.1,27
A,4,3,2,33,0,0,0,A.4.3.2,0
A,4,3,3,23,0,0,0,A.4.3.3,0
A,4,7,1,24,10,0.0369444444444444,0.416666666666667,A.4.7.1,42
A,4,7,2,17,0,0,0,A.4.7.2,0
A,4,7,3,26,1,0.0015625,0.0384615384615385,A.4.7.3,4
B,0,0,1,12,4,0.00857142857142857,0.333333333333333,B.0.0.1,33
B,0,0,2,10,3,0.009375,0.3,B.0.0.2,30
B,0,0,3,12,5,0.03125,0.416666666666667,B.0.0.3,42
B,0,1,1,16,3,0.0046875,0.1875,B.0.1.1,19
B,0,1,2,11,3,0.0142857142857143,0.272727272727273,B.0.1.2,27
B,0,1,3,20,15,0.09125,0.75,B.0.1.3,75
B,0,3,1,15,1,0.00138888888888889,0.0666666666666667,B.0.3.1,7
B,0,3,2,19,2,0.0025,0.105263157894737,B.0.3.2,11
B,0,3,3,17,3,0.0265625,0.176470588235294,B.0.3.3,18
B,0,7,1,22,1,0.00138888888888889,0.0454545454545455,B.0.7.1,5
B,0,7,2,19,1,0.00138888888888889,0.0526315789473684,B.0.7.2,5
B,0,7,3,16,0,0,0,B.0.7.3,0
B,1,0,1,12,0,0,0,B.1.0.1,0
B,1,0,2,9,0,0,0,B.1.0.2,0
B,1,0,3,10,0,0,0,B.1.0.3,0
