var,dias,trt,pl,categ,cont,prop,tree_id
A,0,0,1,0,12,0.181818181818182,A.0.0.1
A,0,0,1,1,0,0,A.0.0.1
A,0,0,1,2,0,0,A.0.0.1
A,0,0,1,3,0,0,A.0.0.1
A,0,0,1,4,0,0,A.0.0.1
A,0,0,1,5,0,0,A.0.0.1
A,0,0,2,0,28,0.424242424242424,A.0.0.2
A,0,0,2,1,0,0,A.0.0.2
A,0,0,2,2,0,0,A.0.0.2
A,0,0,2,3,0,0,A.0.0.2
A,0,0,2,4,0,0,A.0.0.2
A,0,0,2,5,0,0,A.0.0.2
A,0,0,3,0,25,0.378787878787879,A.0.0.3
A,0,0,3,1,1,0.0151515151515152,A.0.0.3
A,0,0,3,2,0,0,A.0.0.3
A,0,0,3,3,0,0,A.0.0.3
A,0,0,3,4,0,0,A.0.0.3
A,0,0,3,5,0,0,A.0.0.3
A,0,1,1,0,10,0.285714285714286,A.1.0.1
A,0,1,1,1,0,0,A.1.0.1
A,0,1,1,2,0,0,A.1.0.1
A,0,1,1,3,0,0,A.1.0.1
A,0,1,1,4,0,0,A.1.0.1
A,0,1,1,5,0,0,A.1.0.1
A,0,1,2,0,13,0.371428571428571,A.1.0.2
A,0,1,2,1,1,0.0285714285714286,A.1.0.2
A,0,1,2,2,0,0,A.1.0.2
A,0,1,2,3,0,0,A.1.0.2
A,0,1,2,4,0,0,A.1.0.2
A,0,1,2,5,0,0,A.1.0.2
A,0,1,3,0,10,0.285714285714286,A.1.0.3
A,0,1,3,1,1,0.0285714285714286,A.1.0.3
A,0,1,3,2,0,0,A.1.0.3
A,0,1,3,3,0,0,A.1.0.3
A,0,1,3,4,0,0,A.1.0.3
A,0,1,3,5,0,0,A.1.0.3
A,0,2,1,0,11,0.183333333333333,A.2.0.1
A,0,2,1,1,8,0.133333333333333,A.2.0.1
A,0,2,1,2,0,0,A.2.0.1
A,0,2,1,3,0,0,A.2.0.1
A,0,2,1,4,0,0,A.2.0.1
A,0,2,1,5,0,0,A.2.0.1
A,0,2,2,0,17,0.283333333333333,A.2.0.2
A,0,2,2,1,1,0.0166666666666667,A.2.0.2
A,0,2,2,2,1,0.0166666666666667,A.2.0.2
A,0,2,2,3,0,0,A.2.0.2
A,0,2,2,4,0,0,A.2.0.2
A,0,2,2,5,0,0,A.2.0.2
A,0,2,3,0,22,0.366666666666667,A.2.0.3
A,0,2,3,1,0,0,A.2.0.3
A,0,2,3,2,0,0,A.2.0.3
A,0,2,3,3,0,0,A.2.0.3
A,0,2,3,4,0,0,A.2.0.3
A,0,2,3,5,0,0,A.2.0.3
A,0,3,1,0,12,0.260869565217391,A.3.0.1
A,0,3,1,1,1,0.0217391304347826,A.3.0.1
A,0,3,1,2,2,0.0434782608695652,A.3.0.1
A,0,3,1,3,0,0,A.3.0.1
A,0,3,1,4,0,0,A.3.0.1
A,0,3,1,5,0,0,A.3.0.1
A,0,3,2,0,14,0.304347826086957,A.3.0.2
A,0,3,2,1,0,0,A.3.0.2
A,0,3,2,2,0,0,A.3.0.2
A,0,3,2,3,0,0,A.3.0.2
A,0,3,2,4,0,0,A.3.0.2
A,0,3,2,5,0,0,A.3.0.2
A,0,3,3,0,16,0.347826086956522,A.3.0.3
A,0,3,3,1,1,0.0217391304347826,A.3.0.3
A,0,3,3,2,0,0,A.3.0.3
A,0,3,3,3,0,0,A.3.0.3
A,0,3,3,4,0,0,A.3.0.3
A,0,3,3,5,0,0,A.3.0.3
A,0,4,1,0,11,0.183333333333333,A.4.0.1
A,0,4,1,1,1,0.0166666666666667,A.4.0.1
A,0,4,1,2,0,0,A.4.0.1
A,0,4,1,3,0,0,A.4.0.1
A,0,4,1,4,0,0,A.4.0.1
A,0,4,1,5,0,0,A.4.0.1
A,0,4,2,0,21,0.35,A.4.0.2
A,0,4,2,1,0,0,A.4.0.2
A,0,4,2,2,0,0,A.4.0.2
A,0,4,2,3,0,0,A.4.0.2
A,0,4,2,4,0,0,A.4.0.2
A,0,4,2,5,0,0,A.4.0.2
A,0,4,3,0,27,0.45,A.4.0.3
A,0,4,3,1,0,0,A.4.0.3
A,0,4,3,2,0,0,A.4.0.3
A,0,4,3,3,0,0,A.4.0.3
A,0,4,3,4,0,0,A.4.0.3
A,0,4,3,5,0,0,A.4.0.3
A,1,0,1,0,20,0.238095238095238,A.0.1.1
A,1,0,1,1,0,0,A.0.1.1
A,1,0,1,2,0,0,A.0.1.1
A,1,0,1,3,0,0,A.0.1.1
A,1,0,1,4,0,0,A.0.1.1
A,1,0,1,5,0,0,A.0.1.1
A,1,0,2,0,35,0.416666666666667,A.0.1.2
A,1,0,2,1,1,0.0119047619047619,A.0.1.2
A,1,0,2,2,0,0,A.0.1.2
A,1,0,2,3,0,0,A.0.1.2
A,1,0,2,4,0,0,A.0.1.2
A,1,0,2,5,0,0,A.0.1.2
A,1,0,3,0,28,0.333333333333333,A.0.1.3
A,1,0,3,1,0,0,A.0.1.3
A,1,0,3,2,0,0,A.0.1.3
A,1,0,3,3,0,0,A.0.1.3
A,1,0,3,4,0,0,A.0.1.3
A,1,0,3,5,0,0,A.0.1.3
A,1,1,1,0,17,0.333333333333333,A.1.1.1
A,1,1,1,1,0,0,A.1.1.1
A,1,1,1,2,0,0,A.1.1.1
A,1,1,1,3,0,0,A.1.1.1
A,1,1,1,4,0,0,A.1.1.1
A,1,1,1,5,0,0,A.1.1.1
A,1,1,2,0,17,0.333333333333333,A.1.1.2
A,1,1,2,1,0,0,A.1.1.2
A,1,1,2,2,0,0,A.1.1.2
A,1,1,2,3,0,0,A.1.1.2
A,1,1,2,4,0,0,A.1.1.2
A,1,1,2,5,0,0,A.1.1.2
A,1,1,3,0,17,0.333333333333333,A.1.1.3
A,1,1,3,1,0,0,A.1.1.3
A,1,1,3,2,0,0,A.1.1.3
A,1,1,3,3,0,0,A.1.1.3
A,1,1,3,4,0,0,A.1.1.3
A,1,1,3,5,0,0,A.1.1.3
A,1,2,1,0,16,0.363636363636364,A.2.1.1
A,1,2,1,1,0,0,A.2.1.1
A,1,2,1,2,0,0,A.2.1.1
A,1,2,1,3,0,0,A.2.1.1
A,1,2,1,4,0,0,A.2.1.1
A,1,2,1,5,0,0,A.2.1.1
A,1,2,2,0,15,0.340909090909091,A.2.1.2
A,1,2,2,1,0,0,A.2.1.2
A,1,2,2,2,0,0,A.2.1.2
A,1,2,2,3,0,0,A.2.1.2
A,1,2,2,4,0,0,A.2.1.2
A,1,2,2,5,0,0,A.2.1.2
A,1,2,3,0,13,0.295454545454545,A.2.1.3
A,1,2,3,1,0,0,A.2.1.3
A,1,2,3,2,0,0,A.2.1.3
A,1,2,3,3,0,0,A.2.1.3
A,1,2,3,4,0,0,A.2.1.3
A,1,2,3,5,0,0,A.2.1.3
A,1,3,1,0,17,0.314814814814815,A.3.1.1
A,1,3,1,1,0,0,A.3.1.1
A,1,3,1,2,0,0,A.3.1.1
A,1,3,1,3,0,0,A.3.1.1
A,1,3,1,4,0,0,A.3.1.1
A,1,3,1,5,0,0,A.3.1.1
A,1,3,2,0,18,0.333333333333333,A.3.1.2
A,1,3,2,1,0,0,A.3.1.2
A,1,3,2,2,0,0,A.3.1.2
A,1,3,2,3,0,0,A.3.1.2
A,1,3,2,4,0,0,A.3.1.2
A,1,3,2,5,0,0,A.3.1.2
A,1,3,3,0,19,0.351851851851852,A.3.1.3
A,1,3,3,1,0,0,A.3.1.3
A,1,3,3,2,0,0,A.3.1.3
A,1,3,3,3,0,0,A.3.1.3
A,1,3,3,4,0,0,A.3.1.3
A,1,3,3,5,0,0,A.3.1.3
A,1,4,1,0,19,0.395833333333333,A.4.1.1
A,1,4,1,1,0,0,A.4.1.1
A,1,4,1,2,0,0,A.4.1.1
A,1,4,1,3,0,0,A.4.1.1
A,1,4,1,4,0,0,A.4.1.1
A,1,4,1,5,0,0,A.4.1.1
A,1,4,2,0,22,0.458333333333333,A.4.1.2
A,1,4,2,1,1,0.0208333333333333,A.4.1.2
A,1,4,2,2,0,0,A.4.1.2
A,1,4,2,3,0,0,A.4.1.2
A,1,4,2,4,0,0,A.4.1.2
A,1,4,2,5,0,0,A.4.1.2
A,1,4,3,0,6,0.125,A.4.1.3
A,1,4,3,1,0,0,A.4.1.3
A,1,4,3,2,0,0,A.4.1.3
A,1,4,3,3,0,0,A.4.1.3
A,1,4,3,4,0,0,A.4.1.3
A,1,4,3,5,0,0,A.4.1.3
A,3,0,1,0,15,0.217391304347826,A.0.3.1
A,3,0,1,1,5,0.072463768115942,A.0.3.1
A,3,0,1,2,2,0.0289855072463768,A.0.3.1
A,3,0,1,3,0,0,A.0.3.1
A,3,0,1,4,0,0,A.0.3.1
A,3,0,1,5,0,0,A.0.3.1
A,3,0,2,0,25,0.36231884057971,A.0.3.2
A,3,0,2,1,0,0,A.0.3.2
A,3,0,2,2,0,0,A.0.3.2
A,3,0,2,3,0,0,A.0.3.2
A,3,0,2,4,0,0,A.0.3.2
A,3,0,2,5,0,0,A.0.3.2
A,3,0,3,0,22,0.318840579710145,A.0.3.3
A,3,0,3,1,0,0,A.0.3.3
A,3,0,3,2,0,0,A.0.3.3
A,3,0,3,3,0,0,A.0.3.3
A,3,0,3,4,0,0,A.0.3.3
A,3,0,3,5,0,0,A.0.3.3
A,3,1,1,0,19,0.358490566037736,A.1.3.1
A,3,1,1,1,0,0,A.1.3.1
A,3,1,1,2,0,0,A.1.3.1
A,3,1,1,3,0,0,A.1.3.1
A,3,1,1,4,0,0,A.1.3.1
A,3,1,1,5,0,0,A.1.3.1
A,3,1,2,0,17,0.320754716981132,A.1.3.2
A,3,1,2,1,0,0,A.1.3.2
A,3,1,2,2,0,0,A.1.3.2
A,3,1,2,3,0,0,A.1.3.2
A,3,1,2,4,0,0,A.1.3.2
A,3,1,2,5,0,0,A.1.3.2
A,3,1,3,0,17,0.320754716981132,A.1.3.3
A,3,1,3,1,0,0,A.1.3.3
A,3,1,3,2,0,0,A.1.3.3
A,3,1,3,3,0,0,A.1.3.3
A,3,1,3,4,0,0,A.1.3.3
A,3,1,3,5,0,0,A.1.3.3
A,3,2,1,0,18,0.257142857142857,A.2.3.1
