trt	bk	days	n_plants	dis_plants	inc
no	1	1	50	0	0
no	1	30	50	4	0.08
no	1	60	50	6	0.18
no	1	90	50	19	0.38
no	1	120	50	30	0.6
no	1	150	50	34	0.68
no	1	180	50	42	0.76
no	1	210	50	49	0.88
no	1	240	50	50	0.9
no	1	270	50	50	0.92
no	2	1	50	0	0
no	2	30	50	3	0.08
no	2	60	50	4	0.26
no	2	90	50	15	0.44
no	2	120	50	24	0.48
no	2	150	50	29	0.58
no	2	180	50	34	0.68
no	2	210	50	38	0.78
no	2	240	50	42	0.84
no	2	270	50	44	0.9
no	3	1	50	0	0
no	3	30	50	4	0.08
no	3	60	50	8	0.28
no	3	90	50	23	0.46
no	3	120	50	26	0.52
no	3	150	50	30	0.6
no	3	180	50	35	0.7
no	3	210	50	46	0.8
no	3	240	50	47	0.9
no	3	270	50	49	0.96
yes	1	1	50	0	0
yes	1	30	50	1	0.02
yes	1	60	50	4	0.08
yes	1	90	50	6	0.12
yes	1	120	50	7	0.14
yes	1	150	50	9	0.18
yes	1	180	50	15	0.3
yes	1	210	50	19	0.38
yes	1	240	50	21	0.42
yes	1	270	50	23	0.46
yes	2	1	50	0	0
yes	2	30	50	1	0.02
yes	2	60	50	2	0.04
yes	2	90	50	7	0.14
yes	2	120	50	10	0.2
yes	2	150	50	12	0.24
yes	2	180	50	19	0.38
yes	2	210	50	21	0.42
yes	2	240	50	24	0.48
yes	2	270	50	24	0.48
yes	3	1	50	1	0.02
yes	3	30	50	3	0.06
yes	3	60	50	5	0.1
yes	3	90	50	9	0.18
yes	3	120	50	11	0.22
yes	3	150	50	14	0.28
yes	3	180	50	20	0.4
yes	3	210	50	22	0.44
yes	3	240	50	26	0.52
yes	3	270	50	27	0.54
