trt,bk,red_int,esc_int,red_inc,red_sev,esc_inc,esc_sev
1,1,4.6,3.7,82.0,5.6,67.5,5.5
2,1,3.2,1.9,63.0,5.0,38,5
3,1,2.0,0.8,50.0,4.0,27,3
4,1,1.2,2.5,61.0,2.0,62,4
5,1,1.1,2.0,35.0,3.0,28,7
6,1,3.3,2.5,60.0,5.5,42,6
7,1,5.4,4.4,67.5,8.0,37,12
8,1,1.9,6.0,56.5,3.3,60,10
9,1,0.7,2.2,44.0,1.7,72,3
10,1,1.4,2.2,46.0,3.0,55,4
11,1,0.8,2.0,42.0,2.0,39,5
12,1,0.6,0.5,43.0,1.5,15,3
13,1,0.9,2.8,41.0,2.2,47,6
14,1,0.6,1.6,36.0,1.7,40,4
15,1,1.7,1.4,55.0,3.0,35,4
1,2,3.5,7.7,83.0,4.3,85,9
2,2,1.3,3.5,52.0,2.5,58,6
3,2,0.3,0.5,33.0,1.0,25,2
4,2,3.0,4.2,67.0,4.5,60,7
5,2,0.8,0.9,53.0,1.5,30,3
6,2,2.2,2.3,48.5,4.5,57,4
7,2,1.5,2.5,61.0,2.5,50,5
8,2,2.1,2.6,61.0,3.5,65,4
9,2,0.8,4.9,51.0,1.5,70,7
10,2,2.5,2.0,62.0,4.0,40,5
11,2,0.6,2.6,37.0,1.5,65,4
12,2,1.5,0.3,59.0,2.5,17,2
13,2,0.8,0.8,42.0,2.0,25,3
14,2,0.9,0.5,57.0,1.5,25,2
15,2,1.0,1.2,50.0,2.0,40,3
1,3,3.6,5.7,79.9,4.5,68.8,8.3
2,3,1.6,2.6,49.0,3.3,42.9,5.9
3,3,0.8,0.7,32.3,2.4,25.7,2.9
4,3,3.3,3.2,60.4,5.5,61.3,5.2
5,3,2.1,1.5,47.6,4.4,30.4,4.8
6,3,3.0,2.2,61.4,4.9,52.4,4.2
7,3,1.2,5.0,64.1,1.8,41.5,12.1
8,3,2.3,6.0,65.2,3.6,57.7,10.4
9,3,0.9,2.3,55.3,1.6,70.2,3.3
10,3,1.4,2.3,43.7,3.1,56.8,4.0
11,3,0.7,2.9,32.9,2.1,66.9,4.4
12,3,0.9,0.5,47.8,1.8,15.9,3.4
13,3,0.9,2.1,42.5,2.1,31.3,6.7
14,3,1.0,0.6,68.3,1.5,32.7,2.0
15,3,1.6,1.1,53.9,3.0,36.4,3.0
1,4,4.8,6.5,82.0,5.9,88.0,7.4
2,4,1.1,2.3,62.3,1.8,39.5,5.7
3,4,0.5,0.8,35.5,1.3,25.7,3.2
4,4,3.4,2.4,71.0,4.7,60.7,3.9
5,4,1.2,2.0,35.1,3.3,28.7,7.1
6,4,2.1,1.9,55.2,3.8,48.4,3.9
7,4,5.0,5.5,62.5,8.1,54.5,10.1
8,4,2.2,6.5,62.1,3.5,66.7,9.7
9,4,0.8,6.2,48.3,1.6,70.2,8.8
10,4,2.1,2.6,56.8,3.7,56.7,4.6
11,4,0.7,3.3,38.1,1.8,64.0,5.1
12,4,1.2,0.6,71.2,1.7,15.6,3.6
13,4,0.9,0.7,41.1,2.2,36.3,1.9
14,4,0.8,1.5,49.1,1.7,42.1,3.6
15,4,0.9,1.4,47.0,1.9,37.4,3.6
