ID    weight   length diameter  moisture  hardness
  1   30.15    3.27   2.09      10.27     -16.63
  2   35.51    3.65   2.34      10.61      -8.27
  3   29.16    3.36   2.15      10.27     -21.45
  4   16.82    2.77   1.79      11.05       4.13
  5   23.42    2.78   1.80      10.02      -2.05
  6   31.77    3.37   2.15      10.34     -41.78
  7   16.45    2.52   1.66      10.64      -5.33
  8   32.89    3.48   2.23      10.44     -13.91
  9   22.55    3.17   2.03      10.28     -10.87
 10   28.03    3.20   2.05      10.22     -16.28
 11   32.27    3.58   2.29      10.32     -12.81
 12   40.62    3.97   2.56      10.40      10.46
 13   29.28    3.54   2.27      10.64     -32.43
 14   22.68    3.23   2.07      10.78     -19.04
 15   29.78    3.53   2.26      10.39     -25.78
 16   27.16    3.05   1.96      10.49     -34.65
 17   17.94    2.86   1.85      10.37      -5.24
 18   20.93    3.08   1.97      10.97      -6.41
 19   30.78    3.48   2.23      10.83      -4.09
 20   45.85    3.78   2.43      10.37     -18.00
 21   30.78    3.27   2.09      10.70      -3.21
 22   33.64    3.54   2.27      10.52     -21.18
 23   34.89    3.47   2.22      10.74     -18.36
 24   22.55    3.09   1.98      10.55      -9.35
 25   28.28    3.38   2.16      10.51      -7.74
 26   25.04    3.07   1.97      10.06      -7.46
 27   39.25    3.80   2.44      10.76     -28.34
 28   26.79    3.09   1.98      10.26       6.31
 29   24.55    3.10   1.99      10.36       4.18
 30   33.02    3.58   2.29      10.56     -22.34
 31   24.30    2.74   1.78      10.54     -19.77
 32   25.92    3.10   1.99      10.67     -28.64
 33   34.51    3.57   2.29      10.61      -9.14
 34   28.16    3.00   1.93      10.21     -15.51
 35   28.16    3.09   1.98      10.52     -11.11
 36   19.81    2.85   1.84      10.94     -14.08
 37   27.16    3.39   2.17      10.37     -19.96
 38   16.07    2.61   1.71      10.31      -5.11
 39   25.42    3.01   1.93      10.68     -22.04
 40   30.28    3.45   2.21      10.37       2.25
 41   27.41    3.30   2.11      10.41      -3.94
 42   38.75    3.84   2.47      10.68     -20.41
 43   19.69    3.14   2.01      10.28     -11.05
 44   24.80    3.09   1.98      10.67     -30.84
 45   33.27    3.39   2.17      10.79     -21.12
 46   22.43    2.91   1.87      10.47     -28.66
 47   49.47    4.12   2.66      10.59     -42.47
 48   22.30    3.07   1.97      10.97      -1.61
 49   27.29    3.42   2.19      10.37      11.24
 50   34.26    3.63   2.33      10.39      -4.45
 51   24.30    3.06   1.96      10.85      11.87
 52   24.55    3.24   2.07      10.30     -21.16
 53   19.06    2.89   1.86      10.25      -9.72
 54   27.04    3.18   2.04      10.36      -6.46
 55   29.03    3.36   2.15      10.67      -8.63
 56   36.38    3.64   2.33      10.59     -19.23
 57   24.30    3.22   2.06      10.78      -0.93
 58   22.68    3.11   1.99      10.38     -22.53
 59   33.89    3.51   2.25      10.64      -5.04
 60   33.39    3.45   2.21      10.65     -18.14
 61   25.54    3.45   2.21      10.28       7.83
 62   32.52    3.67   2.35      10.51     -13.93
 63   31.27    3.41   2.18      10.30     -24.13
 64   31.15    3.40   2.17      10.48       3.35
 65   19.19    2.93   1.89      10.59      -5.89
 66   23.42    3.22   2.06      10.34      -1.76
 67   25.17    2.87   1.85      10.54     -20.72
 68   28.91    3.10   1.99      10.56     -11.31
 69   27.79    3.38   2.16      10.45      -6.73
 70   34.76    3.45   2.21      10.70     -36.98
 71   29.53    3.24   2.07      10.05     -20.59
 72   24.80    3.30   2.11      10.54      -7.83
 73   29.65    3.31   2.12      10.52     -25.70
 74   29.90    3.36   2.15      10.42     -34.76
 75   21.81    2.82   1.82      10.71      -8.90
 76   25.29    3.12   2.00      10.77      15.07
 77   33.77    3.43   2.19      10.61     -24.60
 78   37.13    3.81   2.45      10.70     -15.98
 79   31.52    3.43   2.19      10.55     -14.59
 80   32.65    3.48   2.23      10.50     -22.41
 81   28.16    3.55   2.27      10.79     -42.05
 82   25.67    3.33   2.13      10.65       8.38
